quarter,revenue_q,revenue_ttm,gm_pct,op_margin,net_margin,fcf_q,cash_balance,debt,revenue_qoq_growth,revenue_yoy_growth,dc_qoq_growth,dc_yoy_growth
Q1-FY24,7192,26974,64.6,18.9,14.0,1803,15920,9703,13.5,19.1,18.4,26.3
Q2-FY24,13507,29464,70.1,28.5,24.7,3862,16023,9681,87.9,101.5,95.2,141.2
Q3-FY24,18120,35974,74.0,39.4,34.1,9810,18302,9680,34.1,205.5,41.3,279.0
Q4-FY24,22103,60922,76.0,45.1,39.2,11354,26014,9680,22.0,265.3,26.9,409.3
Q1-FY25,26044,79774,78.4,51.2,44.7,14238,31402,9687,17.8,262.1,21.6,427.3
Q2-FY25,30040,96307,75.1,48.9,41.6,15044,34836,8461,15.4,122.3,16.4,154.5
Q3-FY25,35082,113349,74.6,47.8,40.3,17590,38534,8461,16.8,93.6,17.2,101.5
